Tweet,Suicide,Labels
"Whenever I have dreams of my mom lately, it’s as if she’s still alive and that she never went away 😳 but then again… https://t.co/fgV1SvUvkO",Potential Suicide post,1
you guys are mean I would never wake up my friends,Potential Suicide post,1
"mafumafu: ""OH SH IT oH G OD"" *scrambles to get everything he didn't pack*…",Potential Suicide post,1
RT @tamicakeyona: Being a single mommy was never part of the plan but I wake up everyday and do my shit💪🏾,Potential Suicide post,1
Sex dreams are my least favorite dreams. Like they're always weird and appear out of nowhere and then you think its… https://t.co/1fdKAwFjwE,Potential Suicide post,1
RT @princessjmee: Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post,1
RT @ZachStafford: I used to check the Forbes 30 Under 30 list every year to see if I could find a husband on it.,Potential Suicide post,1
RT @Mylingo11: Never get too attach cause  people wake up with  different feelings everyday.,Potential Suicide post,1
Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post,1
"@joyreaper @WolfensPride @BreitbartNews No doubt the Obama’ fostered hate, division, chaos and anarchy! They are th… https://t.co/x5ch7odIZ9",Potential Suicide post,1
Just wanna fucking sleep and never wake up ever again 😔,Potential Suicide post,1
Got banned in my boy Clayster's chat by his thot gf @Lunalovebadxo for saying its sad how CoD pros wake up at 4 PM… https://t.co/9FJuA5dlC9,Potential Suicide post,1
DISAPPEARING WHEN YOU WAKE UP BUT THERES NOTHING TO BE AFRAID OF EVEN WHEN THE NIGHT CHANGES IT WILL NEVER CHANGE ME AND YOU,Potential Suicide post,1
Sometimes you’ll never know how bad you fucked up until one day you wake up with nothing,Potential Suicide post,1
everything that you’ve ever dreamed of,Potential Suicide post,1
Being a single mommy was never part of the plan but I wake up everyday and do my shit💪🏾,Potential Suicide post,1
Now I gotta go into the bank tomorrow and see what the fuck is going on. I had problems about 3 weeks ago with a bi… https://t.co/I0WIPHXt5u,Potential Suicide post,1
RT @AshleySantini: I go on YouTube to binge watch David dobrik wholeheartedly knowing I’m going to be sad bc i cant marry him or Scotty or…,Potential Suicide post,1
"@GlamLifeGuru Omg!!!! Theres fires and craziness goin on and you cant go home cause of it, and people are seriously… https://t.co/TFVjk6d2m7",Potential Suicide post,1
"wow, im sooo sad i had everything planned out on when i was going to leave home &amp; go to college in denver... and yo… https://t.co/rXS5MlxBqf",Potential Suicide post,1
"anyway if you cant accept that ive MOVED ON FROM YOU SICKOS, go fuck yourself, ill just keep avoiding your sorry asses",Potential Suicide post,1
"im hoping my stress level will go down when my aunt is gone... i cant relax, am exhausted, and can't focus on a dam… https://t.co/7eRvPZ4rpS",Potential Suicide post,1
"said he has a job but has time for this shit, cant wait to see him next time i go on a maccas run!",Potential Suicide post,1
"@MegamanTV @tom_wilso @NHL @Capitals i play hockey, ive gotten penalties like that. dead play or not, you cant go i… https://t.co/J9vcMvoE23",Potential Suicide post,1
whoever replied i cant see it but just kno i said what i said and go see aquaman directed by james wan on dec 21 https://t.co/G1lMtPk12l,Potential Suicide post,1
you’ve changed for the fucking worse. i cant believe that you could really go back on all ur hard work like that,Potential Suicide post,1
Millwall v Blackburn travel purchased for live on Sky sports selection. Cant wait to go to the game with value!,Potential Suicide post,1
why cant I loose enough blood on my period that I just die ugh — IDK go see a doctor https://t.co/P2PTooYnT5,Potential Suicide post,1
"@jakepaul @jamescharles @LoganPaul Just because shane made a Series on you Doesnt mean people take you seriously, y… https://t.co/D5rA0nua0U",Potential Suicide post,1
That skill takes time and iq. As a center he could run other bigs off the floor and force other teams to go small a… https://t.co/i0I3FKsgBt,Potential Suicide post,1
@Callmesynapse_ @Maddierawrk That’s not how it works and if you truly believe this then I feel sorry for you. We do… https://t.co/PIki5M0cHk,Potential Suicide post,1
"I’m so much happier &amp; better off without you weak , fake lames 😁 leave me alone , I don’t need you anyway #bigslime 🌠",Potential Suicide post,1
@domselinakyle that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better for… https://t.co/oAh2tUnbXt,Potential Suicide post,1
"Ever feel like everyone's better off without you, because me fucking too. https://t.co/TcS3ZzrZoj",Potential Suicide post,1
@FortniteGame Better be adding bouncers back then. No way y’all are dumb enough to add this big a game change then… https://t.co/2GGc72XP5a,Potential Suicide post,1
RT @vanbrueghel: release my body,Potential Suicide post,1
"okay but lets be real, why am I really still here ? I’m nothing but an annoying ass, useless, talentless person can… https://t.co/znSHgBu1JZ",Potential Suicide post,1
RT @albanese778: I fucking miss you :( but you’re probably better off without me.,Potential Suicide post,1
I need a job that revolves around promoting  mental health but I think it’s so grimy to make money off of that 🤷‍♀️… https://t.co/h9QSTVZxxf,Potential Suicide post,1
I do think homies doing the right thing &amp; deserves every dollar he will get. Steelers are silly for not paying him… https://t.co/ISoS0lcKTS,Potential Suicide post,1
I fucking miss you :( but you’re probably better off without me.,Potential Suicide post,1
"""I understand incentivizing companies to move to y… https://t.co/NRBktPKnVr",Potential Suicide post,1
RT @B8SSONS: i hate feeling the way i do,Potential Suicide post,1
"RT @no_onespecixl: Know one enjoys my company and I just make everyone miserable, everyone is better off wi",Potential Suicide post,1
@SowaTheArrogant Well he was partially right! I do want him to get sick and die and I would dance on his grave! May… https://t.co/5AzPorJUos,Potential Suicide post,1
My work schedule for next week makes me want to DIE I’m not ready,Potential Suicide post,1
i want to fucking die,Potential Suicide post,1
aj really not wwe champ anymore... I want to die,Potential Suicide post,1
@DEAHQ WHY do you raid Drs offices when you KNOW that illegal fentanyl thru mail is killing people? People are in s… https://t.co/Q5vMW7XJIq,Potential Suicide post,1
DANIEL WON!,Potential Suicide post,1
...........why the fuck would they put Daniel is in a match against Brock? Do they want him to die on Sunday?,Potential Suicide post,1
@FrankDiElsi1 No I want him to get indicted &amp; watch the kids go to jail - I don’t want him to die because the Trump… https://t.co/BPMdXzujoo,Potential Suicide post,1
me when i finally die after saying i want to die every single day https://t.co/zXWoEexbQZ,Potential Suicide post,1
"RT @NonWhiteHat: Naming laws after dead children is a cynical ploy. ""If you don't support this law, you must want more kids to die, just li…",Potential Suicide post,1
"RT @NICKBOYNTON24: ""I don’t want to die. But, you know, nothing is for certain. And I’m tired of keeping quiet."" @PlayersTribune @CarBombBo…",Potential Suicide post,1
I want to fucking die someone please kill me but suck all the fat out of me first,Potential Suicide post,1
"When I die, I want to have a closed casket service at my memorial. Then I want them to play “Pop Goes The Weasel” a… https://t.co/C4bKrK029g",Potential Suicide post,1
All I want rn is to get home and take a fucking shower and die,Potential Suicide post,1
"RT @darkles_sparkle: @GameOfThrones ""My name is Arya Stark. I want you to know that. The last thing you’re ever going to see is a Stark smi…",Potential Suicide post,1
RT @reckless: I am so jealous of this insane @TaylorLorenz story I want to die https://t.co/6RNqtfKlH5,Potential Suicide post,1
@starrymilkteaa WOW I AM ADDING THAY TO MY LIST OF SHIT TO LISTEN TO WHEN I WANT TO DIE,Potential Suicide post,1
RT @palestinianho: patient: i hate myself and i want to die,Potential Suicide post,1
I’m such a. Disgusting disappointment I’ve gotten visibly fatter my cheeks are puffy and my stomach has actually de… https://t.co/pzeLi6sSIH,Potential Suicide post,1
AFTER EFFECTS HAS FROZEN AND I DID NOT I REPEAT I DID NOT SAVE MY EDIT I WANT TO ACTUALLY FUCKING DIE .... IT TOOK… https://t.co/yif8DABTQm,Potential Suicide post,1
"they dropped these fucking teasers when i was in class YEAH THEY WANT ME TO DIE, RIGHT? https://t.co/nbjoTSHmuw",Potential Suicide post,1
RT @MandalMadhura: @narendramodi It’s a black Diwali for all of us who failed to #LetAvniLive. while we reached out to ur office with evide…,Potential Suicide post,1
"#FreeKaavan Another year has passed and I am still alone, sad and suffering. Will I ever live with dignity? Or will… https://t.co/bk4rdiwZSc",Potential Suicide post,1
"#FreeKaavan Another year has passed and I am still alone, sad and suffering. Will I ever live with dignity? Or will… https://t.co/0oWffNaMQb",Potential Suicide post,1
RT @KindFashionNY: Please See Me. I Need My Human. Don’t Let Me Die Alone &amp; Afraid. Hurry🙏🐾💔🐶 https://t.co/oiiy0hKjTW,Potential Suicide post,1
"RT @tomorrowithryu: And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye 😭😭😭😭 altou…",Potential Suicide post,1
i wanna fucking die im so tired of feeling pain constantly GOD i need to be left alone and cry and wallow in my misery until i feel better,Potential Suicide post,1
I die a little inside when I see an old person eating alone at a restaurant.,Potential Suicide post,1
RT @BijinChihiro: 11月11日 👹#BLACKCOVE 💔🐬#Family of 80 #dolphins decimated-7 died from stress-48 captured #freedom forever lost-Defenseless #…,Potential Suicide post,1
there are no perks of being this ugly i deserve an award or something at least if i’m gonna die alone,Potential Suicide post,1
I don’t care who fuck with me at the end of the day i came in this world alone im gon die alone with that being sai… https://t.co/CuQdOMxwlV,Potential Suicide post,1
"And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye 😭😭😭😭 a… https://t.co/B4hM6MjQRe",Potential Suicide post,1
So this goes well to show the average American trying to retire will die hungry and alone.,Potential Suicide post,1
"Now playing J. Gardna ft 2 Pistols, Tone Trump &amp; Drop - Die Alone (Remix) (Dirty) on Street Style Radio",Potential Suicide post,1
I just wanna bring up Mac didn’t die from cocaine mixed with fentanyl. He literally had a line. .”shit ain’t been t… https://t.co/wUElVuw1CO,Potential Suicide post,1
me: “oh my god i want to fuckin die i hate myself im so lonely”,Potential Suicide post,1
Rosie: “does he think I’m gonna be single forever?”,Potential Suicide post,1
RT @ruinpeach: everyone’s fighting about this but will is dead and wessa’s kids are dead and jem’s going to die one day along with jessa’s…,Potential Suicide post,1
I’m so tired of living and college I just wanna drop out and work somewhere far away from everyone https://t.co/Dq3rIUxtbv,Potential Suicide post,1
"Tired of living life with the fear of not being liked. So for now on, FUCK IT I’m really livin’ now people!!!!!",Potential Suicide post,1
RT @delaneykazee: i’m so tired of living in a country that has become about taking sides. bitch can we all just love and respect each other…,Potential Suicide post,1
survive but tired like shit what’s the point of living,Potential Suicide post,1
RT @ImHorny32503587: #HornyFact I'm so fucking tired of living I'm not smart I'm not athletic I'm not attractive I'm not talented I just ha…,Potential Suicide post,1
Y'a I'll go on a complete social media strike till I change myself completely. I'm about to unlearn all the fucked… https://t.co/d2baPJ9Q6c,Potential Suicide post,1
Need to fucking move out already tired of being told what to when to do it and most of all not having a fucking roo… https://t.co/5ViKK3uu20,Potential Suicide post,1
Tired of merely existing. Want to get to living.,Potential Suicide post,1
"Scared of death, tired of living.",Potential Suicide post,1
"I’m tired of lies and living in lies, of people showing only the versions they want to show and of shows that people put on.",Potential Suicide post,1
RT @AmNotJake: I'm so fucking tired of living I'm not smart I'm not athletic I'm not attractive I'm not talented I just have this fucking t…,Potential Suicide post,1
RT @Yaanayanaa: I’m tired of living like this😕,Potential Suicide post,1
i’m so tired of living,Potential Suicide post,1
"i’m tired of struggling, im tired of asking for help and mostly i’m just tired of life. it’s not worth living anymore.",Potential Suicide post,1
If you're tired of living for the 1st and 15th and you NEED to do some IMMEDIATELY...like when your regular deodora… https://t.co/6xpv0nBVua,Potential Suicide post,1
If you're tired of living for the 1st and 15th and you NEED to do some IMMEDIATELY...like when your regular deodora… https://t.co/5MOeekHS6M,Potential Suicide post,1
So tired of living with these niggas.. only 2 1/2 months to go,Potential Suicide post,1
Tired of living this life,Potential Suicide post,1
I am so sick and tired of living. https://t.co/w8r1DtTjBi,Potential Suicide post,1
I just want to get my ass done I’m tired of living this life,Potential Suicide post,1
I'm tired of living tbh,Potential Suicide post,1
I'm tired of living in a world,Potential Suicide post,1
Living as a hardcore empath is so hard. I'm tired of being nice and putting emotional labor into those who are undeserving,Potential Suicide post,1
"RT @Sal929: @WyattEarpLA I’m actually tired of this!!! It’s like living in a home where the troubled, deceitful child always wins! It’s not…",Potential Suicide post,1
tired of living this lonely life,Potential Suicide post,1
"@UnclaimedAna2 The worst part is I tire easily and I love napping. Fortunately I don’t get tired until after work,… https://t.co/EyDeIthBBG",Potential Suicide post,1
I getting tired of living the same day every single day,Potential Suicide post,1
YO sometimes I’m just tired of living.,Potential Suicide post,1
can i move out already im tired of living with this old hag,Potential Suicide post,1
If you want us to believe you want to be an American it would make sense to learn English in less than 20 years. Ot… https://t.co/mamOa6vKqz,Potential Suicide post,1
I’m tired of living the regular life 🤣,Potential Suicide post,1
im so tired of living. whats the point of me living if i keep whining,Potential Suicide post,1
"I hate that I’m at war with myself daily. I hate living at home like this, bc I’m told my emotions don’t matter. I… https://t.co/1gPpI18pwQ",Potential Suicide post,1
I'm sick and tired of people putting so much energy into shitting on ships but they won't do the same to help a liv… https://t.co/hyFuB3D04a,Potential Suicide post,1
yea I’m tired of living by myself 😭,Potential Suicide post,1
I'm so tired of living pay check to pay check. If any scammer wanna DM please do 🙄👌,Potential Suicide post,1
almost broke down at class just because the most negative thoughts are kicking in and I'm mf tired of living hahahahahahahah,Potential Suicide post,1
Tired of living day by day like everything’s alright,Potential Suicide post,1
"@WyattEarpLA I’m actually tired of this!!! It’s like living in a home where the troubled, deceitful child always wi… https://t.co/qsFqOPfqJP",Potential Suicide post,1
"RT @913Lucero: I wanna let it be known that if any of my homies ever, in your life feel like y’all alone or just tired of living. I’m a tex…",Potential Suicide post,1
Tired of living like this,Potential Suicide post,1
@bootylove89 Haha I wish I was. I’m tired of living here. I wanna go down south,Potential Suicide post,1
"Please retweet my Weed G. Board!!! The coolest adult cartoon.  I'm tired of living the worst times of my life, plea… https://t.co/jxWJLxgT9x",Potential Suicide post,1
"RT @Soulwhisperer3: When you're tired of living your life, all you can do is close your eyes and go to sleep...",Potential Suicide post,1
I think I’m going to redecorate my living room but I’m tired of moving stuff around,Potential Suicide post,1
The leader of the band is tired&amp;his eyes are growing old,Potential Suicide post,1
But his blood runs through my instrument and his song is i… https://t.co/vKSEal470M,Potential Suicide post,1
RT @CoreyBBrooks: Living in the Hood can be really tough. I am tired of losing people to the violence. I will not give up! https://t.co/zjY…,Potential Suicide post,1
"RT @rosettalind55: @BrettCMajor1 I`m sick and tired of listening to @JustinTrudeau saying,""First and foremost ,we`re all here to work for C…",Potential Suicide post,1
Tired of living with childish people,Potential Suicide post,1
My heart is so crushed.,Potential Suicide post,1
How to cut a wrist. The end of blood.,Potential Suicide post,1
When I was in middle school I wanted to be emo don't judge,Potential Suicide post,1
"Offense or Defense , passive or violent. I cut my wrist and my heartbeat is silent",Potential Suicide post,1
"All right so that's 200 for slytherin, 590 for hufflepuff and 520 for ravenclaw. Sadly I'll have to cut these sprin… https://t.co/jjn5aEzAtu",Potential Suicide post,1
My grandpas wrist is bleeding really bad he cut it on accident 😩,Potential Suicide post,1
RT @revolwoc: @sh_tbritttsays *que screamo voice* SO CUT MY WRIST AND BLACK MY EYES,Potential Suicide post,1
@sh_tbritttsays *que screamo voice* SO CUT MY WRIST AND BLACK MY EYES,Potential Suicide post,1
So cut my wrist and black my eyes,Potential Suicide post,1
Cut my wrist and black my eeeeeyes,Potential Suicide post,1
CUT MY WRIST AND BLACK MY EYES,Potential Suicide post,1
"But what Bezos, de Blasio, and Cuomo have down is walked into our little lego town, kicked all of our lego towers a… https://t.co/WQqDasF7n4",Potential Suicide post,1
Random thought #471729.I'm so glad I live in the time of GPS on my cell and navi in my car bc NOTHING confused me m… https://t.co/QwvphlC58Q,Potential Suicide post,1
@EricBoehlert Nothing to live for? Why? Because you have been nasty?,Potential Suicide post,1
@LessIsMoh @LaVendrickS We used to have one. But keeping a live wild animal in a cage surrounded by screaming drunk… https://t.co/swOCDlRqWC,Potential Suicide post,1
RT @ghoulrunnings: ive said it before and ill say it again...waluigi sucks...he sounds and looks funny and thats it...theres nothing else t…,Potential Suicide post,1
@NPR These things are literally an everyday occurrence for my family ever since my parents came to this country. It… https://t.co/TYCbrfobGC,Potential Suicide post,1
"RT @petun1ia: I have nothing to live for dude, shits so sad.",Potential Suicide post,1
@janakidasa1 @BeecheyPat @central_cap @LevequeThots It is sickening. What is sickening is we elect ppl like the lib… https://t.co/v8PzGBUglY,Potential Suicide post,1
@MonicaLewinsky @VanityFair Who cares? It happened and it is in the past. You have nothing to apologize for. Hillar… https://t.co/7hCvOUANCm,Potential Suicide post,1
You hear this @DaveOshry? Together we could start some sort of terrible business that pays nothing and sucks our wi… https://t.co/0cD2tTVEag,Potential Suicide post,1
"@neilpk70 @2pc_Viking @DianeMariePosts @M_S_Fricker You are being narrow minded....it's about the people, who jsut… https://t.co/4gsj86SZmV",Potential Suicide post,1
RT @cparham65: Liberals say conservatives are evil. NOTHING’s further from the truth! We believe in “live &amp; let live”. Libs think that big…,Potential Suicide post,1
"RT andreamvaldez: ""Trumpy Bear isn’t your average meme-bred merch gone viral: It appeals to everyone and no one, it… https://t.co/yhS4IpnQTJ",Potential Suicide post,1
@PoorBoyOnline Was no reason for you to get banned 2k not right..Ronnie stay banning folks that do nothing but try… https://t.co/zijyqCpXoE,Potential Suicide post,1
RT @elsierosehewitt: how much anger must u be carrying to treat a stranger -who’s life/struggles/battles you know nothing about- so poorly?…,Potential Suicide post,1
@KDwow_ sorry I keep missing u kd u don't need to apoligise  for nothing we all have bad days an what u are dealing… https://t.co/aaKsXzHZoT,Potential Suicide post,1
"For the past week I’ll I’ve been thinking about is nothing. I want to disappear, why do I feel so trapped in the li… https://t.co/Xqh6rLAcms",Potential Suicide post,1
I have an awful habit of avoiding writing papers by watching Instagram live videos of the kids I used to nanny for… https://t.co/NpfZu06gwy,Potential Suicide post,1
RT @chimchim246: @987fm #SpeakYourselfSG i’ve always hated my life. I’ve always felt like there’s nothing to live for but BTS has helped me…,Potential Suicide post,1
"I'm out of all my fucking meds bc my family thought it was the best to do since I got sick, tired and sl… https://t.co/6dpLNbb0sh",Potential Suicide post,1
"RT @MohammadiRashid: A year after the devastating earthquake in this city, this young mother says she &amp; her family still don't have shelter…",Potential Suicide post,1
"9 months ago my grandmother passed away, 8 months ago I got my heart completely broken, 7 months ago I almost attem… https://t.co/ooZMFRvuD1",Potential Suicide post,1
This is painful and just the thought of losing another young person to suicide makes it extremely hard to see a fam… https://t.co/45IlNiJt6h,Potential Suicide post,1
Gene has been acting a bit odd lately. When I told him about Leper wanting to jump out of the tree to join The Supe… https://t.co/jqjOwpBQ1X,Potential Suicide post,1
@Maddierawrk Sorry for your loss. This post gave me goosebumps because although I haven’t thought of suicide your d… https://t.co/VNpWHS2zqu,Potential Suicide post,1
I was called in yesterday at the Guidance Counselor's office. I thought I did something bad as my ID was blocked. I… https://t.co/jka0bYtvG9,Potential Suicide post,1
RT @dcostaroberts: The Pentagon spent millions to prevent suicides. But the suicide rate went up instead.  https://t.co/D7BaGVTi9h,Potential Suicide post,1
"RT @TGGuide: TransFact: Sadly, around 78% of transgender people who were bullied at school have thought about or attempted suicide. This ne…",Potential Suicide post,1
Isn't it sad that after seeing a firetruck in front of a building my first thought was to look up in case someone w… https://t.co/Ro8dAw5j0N,Potential Suicide post,1
"I never knew that my grandfather 👴🏾 death was so hard on my mother like it is on me, I guess maybe I thought she wa… https://t.co/WYgCqINw4O",Potential Suicide post,1
Don’t break other people down just because they may seem “weaker” than you. If someone’s eyes are 20/20 that doesn’… https://t.co/DHtb9JZKxE,Potential Suicide post,1
@JosephSadowitz @trs63 @forensicpathmd @drjudymelinek @NRA I don’t want your guns. Seriously. I’m not sure who does… https://t.co/1JZiyqovSd,Potential Suicide post,1
RT @memorymess: Pain! it’s just like fire &amp; memories are the alcohol that increases its flare. Have you ever felt the crack of your broken…,Potential Suicide post,1
Cookie Dough is like “hey don’t eat me raw I could make you sick” not realizing that I’ve been ready to die for things I liked less.,Potential Suicide post,1
"RT @SevenShepherd: ""And a certain centurion's servant, who was dear unto him, was sick, and ready to die."" ~Luke 7:2 #Jesus #God #Bible",Potential Suicide post,1
"""And a certain centurion's servant, who was dear unto him, was sick, and ready to die."" ~Luke 7:2 #Jesus #God #Bible",Potential Suicide post,1
Death scares tf out of me and i am not ready to die,Potential Suicide post,1
Fake news just went ballistic. Get ready.                                 You thought fake news was bad? Deep fakes… https://t.co/LnXcyfRktk,Potential Suicide post,1
"@_creamqueen Lady, I’m on the hill ready to fucking just die already.",Potential Suicide post,1
@markgeollli Pls don’t bring this image to my mind I’m not ready to die,Potential Suicide post,1
"RT @bakugousblackgf: nishinoya, small and ready to die: eat my ass spirits",Potential Suicide post,1
"asahi, giant and scared: PLEASE don’t eat my ass spirits",Potential Suicide post,1
me: *sees a car crash* i wonder how they crashed,Potential Suicide post,1
jami: probably drunk driver coming onto on-coming traffic,Potential Suicide post,1
RT @poemsandthongs: the kinda bad bitch that's ready to die anyday now,Potential Suicide post,1
"RT @iriswestallens: I just want to remind y’all that without Iris, Barry Allen would be dead right now. But she’s useless right? #TheFlash…",Potential Suicide post,1
"RT @milatorres170: I never had to do the most , throw shade or hate. I can be quiet and bitches still want me dead. That’s pure Hate and I…",Potential Suicide post,1
all influencers want to be comedians and all comedians want to be dead.,Potential Suicide post,1
RT @porrafelipeee: They figure me a dead motherfucker,Potential Suicide post,1
But I'm just a motherfucker that want to be dead,Potential Suicide post,1
#smallbizz #entrepreneur #entrepreneurlifestyle https://t.co/dEHV7DED58,Potential Suicide post,1
"@TennisGrapevine ""Thousands of dead children"", as he put it. Sigh.",Potential Suicide post,1
"And it make NO logical sense, in their twisted v… https://t.co/nQqmX2vwmR",Potential Suicide post,1
"@niki_dyer @marcorubio You want every vote counted no matter if the voter is dead, move to a different precinct, ou… https://t.co/nC8PdOqUvU",Potential Suicide post,1
I want a XBOX but I only want it for State of Decay and I dead ass don’t have time to play it now. Really would be a pointless purchase,Potential Suicide post,1
RT @AdrianXpression: Homophobic parents spew their bigotry and be wondering why they end up with dead ass kids. Keep acting stupid if y’all…,Potential Suicide post,1
I tried to be good and not buy food but i dead ass want chipotle’s chicken and rice rn,Potential Suicide post,1
"This is correct. I, for one, absolutely do not want to live in a country with these fucking chuds. And I believe 25… https://t.co/968xex7emJ",Potential Suicide post,1
"@bradesposito They want people like me dead. They don't want to help me. If I was in Canada, Israel or Germany I wo… https://t.co/UEfZi9HniT",Potential Suicide post,1
"I just want to remind y’all that without Iris, Barry Allen would be dead right now. But she’s useless right?… https://t.co/vloroTurEZ",Potential Suicide post,1
me: i want to die and be dead,Potential Suicide post,1
"RT @hankrsmith: Breaking off a serious relationship and saying, “I still want to be close friends” is like saying, “The dog is dead, but I…",Potential Suicide post,1
In reality social media don’t care about a mans mental health or don’t want to speak on it until he’s dead lets be real,Potential Suicide post,1
"@EmisonNaomily but still,i highkey want him to be dead. He f killed peach and beck ugh.Candice is back so imma just… https://t.co/5pBYOKbtRc",Potential Suicide post,1
